Artist_name,No_of_purchases
"Frank Zappa & Captain Beefheart",27
"The Police",26
"Vinícius E Qurteto Em Cy",25
"Barry Wordsworth & BBC Concert Orchestra",22
"Ed Motta",20
"Various Artists",19
"David Coverdale",19
"Sir Georg Solti & Wiener Philharmoniker",19
"Fernanda Porto",18
"Green Day",18
"Big & Rich",18
Calexico,18
Queen,17
"James Brown",17
Instituto,17
"Berliner Philharmoniker & Hans Rosbaud",17
"Marcos Valle",16
Fretwork,16
"Yehudi Menuhin",16
"Nando Reis",15
Kiss,15
"Vinícius De Moraes",15
Incognito,15
"Black Eyed Peas",15
"Nicolaus Esterhazy Sinfonia",15
"O Rappa",14
Otto,14
"Vinícius De Moraes & Baden Powell",13
"Vinícius E Odette Lara",13
"Vinicius, Toquinho & Quarteto Em Cy",13
"Funk Como Le Gusta",13
"Jackson Browne",13
"Aaron Goldberg",13
"Leonard Bernstein & New York Philharmonic",13
"Ton Koopman",13
"Cidade Negra",12
Gonzaguinha,12
"Page & Plant",12
Lost,12
"Velvet Revolver",12
"Youssou N'Dour",12
"Pedro Luís E A Parede",12
"Richard Marlow & The Choir of Trinity College, Cambridge",12
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",12
"London Symphony Orchestra & Sir Charles Mackerras",12
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",12
"Luciano Pavarotti",12
"Chico Science & Nação Zumbi",11
"Banda Black Rio",11
"Spyro Gyra",11
"Os Paralamas Do Sucesso",11
"Raul Seixas",11
U2,11
UB40,11
"Charlie Brown Jr.",11
"Luciana Souza/Romero Lubambo",11
"Boston Symphony Orchestra & Seiji Ozawa",11
"Orchestra of The Age of Enlightenment",11
"Maurizio Pollini",11
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",11
AC/DC,10
"Alice In Chains",10
Falamansa,10
Jamiroquai,10
Raimundos,10
"Red Hot Chili Peppers",10
Titãs,10
"Van Halen",10
"Avril Lavigne",10
"The Postal Service",10
"DJ Dolores & Orchestra Santa Massa",10
"Seu Jorge",10
"Alberto Turco & Nova Schola Gregoriana",10
"Wilhelm Kempff",10
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",10
"Aaron Copland & London Symphony Orchestra",10
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",10
"James Levine",10
"Antal Doráti & London Symphony Orchestra",10
"Milton Nascimento & Bebeto",9
Azymuth,9
"Elis Regina",9
"Os Mutantes",9
"Gene Krupa",9
"Toquinho & Vinícius",9
"Creedence Clearwater Revival",9
"Iron Maiden",9
JET,9
"Motörhead & Girlschool",9
Nirvana,9
Olodum,9
Soundgarden,9
"Stevie Ray Vaughan & Double Trouble",9
"Stone Temple Pilots",9
"The Cult",9
Heroes,9
"The Flaming Lips",9
"Regina Spektor",9
Rodox,9
"Los Hermanos",9
"Stereo Maracana",9
"Temple of the Dog",9
"Chris Cornell",9
"Scholars Baroque Ensemble",9
"Gustav Mahler",9
"Berliner Philharmoniker & Herbert Von Karajan",9
"Antônio Carlos Jobim",8
"Os Cariocas",8
"Milton Nascimento",8
"Def Leppard",8
"Foo Fighters",8
"Guns N' Roses",8
Marillion,8
"Men At Work",8
"Mônica Marianno",8
"Mötley Crüe",8
"Pink Floyd",8
Skank,8
"The Doors",8
"The Rolling Stones",8
"Tim Maia",8
"Battlestar Galactica",8
"Battlestar Galactica (Classic)",8
Jaguares,8
"Mundo Livre S/A",8
"Sabotage E Instituto",8
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",8
"Les Arts Florissants & William Christie",8
Apocalyptica,7
Audioslave,7
"Chico Buarque",7
"Cláudio Zoli",7
"Gilberto Gil",7
"Luiz Melodia",7
"Pedro Luís & A Parede",7
"Santana Feat. Eric Clapton",7
"Cássia Eller",7
"Joe Satriani",7
"Ozzy Osbourne",7
"Paul D'Ianno",7
"Peter Tosh",7
"Simply Red",7
"Zeca Pagodinho",7
"Dread Zeppelin",7
Aquaman,7
"Los Lonely Boys",7
"Corinne Bailey Rae",7
"House Of Pain",7
"Nação Zumbi",7
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",7
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",7
"Yo-Yo Ma",7
"Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner",7
"Orchestre Révolutionnaire et Romantique & John Eliot Gardiner",7
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",7
"Edo de Waart & San Francisco Symphony",7
"Philharmonia Orchestra & Sir Neville Marriner",7
"The 12 Cellists of The Berlin Philharmonic",7
"Roger Norrington, London Classical Players",7
"Alanis Morissette",6
"Billy Cobham",6
"Black Sabbath",6
"Bebel Gilberto",6
"Jorge Vercilo",6
