Milliseconds,Number_of_Purchases
223216,4
240091,4
161253,4
191503,4
321828,3
169900,3
235311,3
189675,3
288757,3
116767,3
244114,3
252891,3
183066,3
272796,3
318511,3
293276,3
203206,3
264359,3
299389,3
262791,3
162429,3
213237,3
269557,3
230191,3
294530,3
284447,3
340767,3
312476,3
255477,3
196702,3
324623,3
210259,3
228336,3
223033,3
235833,3
273057,3
226298,3
342562,2
210834,2
263497,2
369319,2
215875,2
227631,2
350197,2
278125,2
319373,2
194873,2
234814,2
148793,2
172120,2
186801,2
175386,2
260257,2
227317,2
175333,2
271856,2
193253,2
222145,2
221544,2
231392,2
244715,2
170292,2
270158,2
248032,2
242468,2
316865,2
181629,2
170187,2
391549,2
239699,2
181577,2
287817,2
618031,2
191555,2
194089,2
163970,2
163604,2
131918,2
243696,2
298919,2
188473,2
242834,2
414902,2
295053,2
290455,2
280999,2
270968,2
231732,2
209867,2
257253,2
267937,2
185835,2
158275,2
231993,2
237165,2
199523,2
266370,2
298396,2
282409,2
316969,2
260884,2
232724,2
143637,2
322175,2
424960,2
242390,2
564893,2
282488,2
506801,2
312032,2
232672,2
275408,2
294347,2
435513,2
300434,2
361299,2
443977,2
380786,2
483657,2
212401,2
218226,2
247222,2
354560,2
142889,2
241084,2
335542,2
198060,2
270785,2
508055,2
287973,2
159216,2
259500,2
384391,2
278256,2
302158,2
230321,2
261041,2
194821,2
408163,2
137717,2
188395,2
347428,2
395520,2
245394,2
311719,2
430210,2
214961,2
199758,2
413910,2
329795,2
148558,2
203415,2
250070,2
290851,2
357067,2
221596,2
122801,2
178573,2
189257,2
121808,2
172225,2
160235,2
245315,2
208509,2
194768,2
172016,2
165067,2
317413,2
112613,2
317492,2
229877,2
261433,2
253570,2
291500,2
63764,2
211435,2
286981,2
505521,2
227500,2
262817,2
368431,2
241867,2
177711,2
338520,2
158511,2
199131,2
195840,2
209084,2
2626376,2
2600266,2
2587370,2
257776,2
202631,2
293041,2
264568,2
258194,2
278204,2
243487,2
324440,2
270053,2
102164,2
102556,2
514612,2
1271521,2
2687103,2
2484567,2
274644,2
227995,2
515435,2
143830,2
561967,2
213240,2
225933,2
142081,2
139200,2
203102,2
205688,2
222955,2
271960,2
192496,2
300721,2
246177,2
133172,2
294765,2
317570,2
389642,2
305005,2
227291,2
225332,2
287634,2
178364,2
198164,2
202213,2
286302,2
204199,2
282331,2
168437,2
275565,2
162899,2
175490,2
190119,2
253596,2
368770,2
240274,2
253962,2
263026,2
221387,2
180401,2
328724,2
251663,2
217391,2
263235,2
248528,2
295444,2
205871,2
285753,2
252316,2
375349,2
161539,2
343875,2
337423,2
369554,2
269531,2
267023,2
228440,2
212453,2
292179,2
254354,2
259631,2
410566,2
329639,2
386063,2
275591,2
227892,2
198008,2
388832,2
302053,2
398942,2
312424,2
322899,2
191320,2
220081,2
234684,2
188212,2
206524,2
183588,2
192653,2
202788,2
208431,2
251586,2
240796,2
230896,2
297351,2
182883,2
206471,2
309498,2
301688,2
249782,2
227709,2
231836,2
257306,2
250697,2
320078,2
140826,2
200698,2
292466,2
149472,2
171389,2
152607,2
322612,2
215510,2
37120,2
242364,2
347951,2
267807,2
43232,2
225854,2
225697,2
158589,2
222406,2
1326534,2
216633,2
545203,2
349831,2
331676,2
182491,2
126615,2
173008,2
266605,2
248398,2
313704,2
249234,2
348212,2
137482,2
290664,2
270550,2
206001,2
295262,2
246151,2
284238,2
447791,2
366471,2
305162,2
172068,2
350458,2
149995,2
330292,2
202004,2
288496,2
255869,2
235911,2
250853,2
1325458,2
252051,1
205662,1
263288,1
215196,1
330736,1
307617,1
176117,1
241946,1
344163,1
169508,1
436453,1
263262,1
255529,1
141923,1
294060,1
204930,1
166426,1
402390,1
223111,1
283402,1
132493,1
169717,1
153208,1
152555,1
132231,1
221492,1
225488,1
267363,1
214595,1
214256,1
401920,1
619467,1
88894,1
274808,1
225097,1
176326,1
149315,1
343745,1
255791,1
296124,1
310778,1
167262,1
234083,1
134164,1
135888,1
135523,1
213420,1
347036,1
255921,1
259761,1
299676,1
195186,1
382981,1
336692,1
330945,1
285178,1
378618,1
238445,1
345025,1
233769,1
243461,1
201560,1
226168,1
154279,1
239360,1
281286,1
296385,1
178181,1
207804,1
385619,1
342804,1
200437,1
194899,1
274390,1
620460,1
424829,1
257384,1
354089,1
349335,1
267833,1
257462,1
244741,1
355056,1
346932,1
327105,1
180793,1
274729,1
128757,1
326217,1
228493,1
232698,1
223242,1
273658,1
297168,1
209319,1
186435,1
202527,1
355030,1
174524,1
302994,1
229198,1
146782,1
194429,1
149263,1
292075,1
244453,1
292493,1
191660,1
264489,1
263993,1
558602,1
182321,1
298374,1
184016,1
328282,1
203637,1
318901,1
257600,1
196205,1
563800,1
361012,1
379167,1
412152,1
255634,1
237557,1
448574,1
434442,1
335307,1
236173,1
105926,1
275121,1
441155,1
412525,1
320548,1
305475,1
428669,1
203180,1
228884,1
303699,1
357799,1
337658,1
290377,1
168228,1
250723,1
230635,1
341629,1
313626,1
384130,1
247719,1
153077,1
216293,1
193560,1
343484,1
227526,1
229093,1
220891,1
283898,1
1116734,1
356284,1
274860,1
132702,1
150230,1
287791,1
260728,1
144875,1
246047,1
316186,1
233273,1
284107,1
1612329,1
173897,1
203781,1
211591,1
295131,1
263549,1
246073,1
133093,1
203520,1
152424,1
387082,1
398315,1
328254,1
515239,1
396199,1
387186,1
330919,1
279353,1
313103,1
315898,1
396878,1
505626,1
527986,1
345547,1
134191,1
238550,1
72463,1
203337,1
169926,1
245681,1
276767,1
286197,1
127555,1
208378,1
143281,1
159555,1
225880,1
198191,1
161175,1
229590,1
275644,1
148871,1
312980,1
444358,1
322716,1
349440,1
261302,1
405028,1
246465,1
212297,1
258638,1
235232,1
278595,1
209188,1
219428,1
200254,1
169325,1
260310,1
284055,1
29048,1
170553,1
231235,1
333087,1
233482,1
229929,1
220630,1
260623,1
229276,1
121652,1
232515,1
244897,1
217234,1
71941,1
232960,1
270654,1
163787,1
667428,1
305528,1
475402,1
232594,1
298083,1
245629,1
473391,1
362475,1
256365,1
314017,1
96914,1
194403,1
228127,1
249312,1
205897,1
320783,1
526471,1
389146,1
404688,1
233639,1
217678,1
235755,1
230060,1
241632,1
153913,1
181159,1
300512,1
176013,1
382119,1
337266,1
327418,1
277968,1
181890,1
242599,1
230504,1
222484,1
218331,1
245995,1
158458,1
184946,1
189988,1
208613,1
224261,1
5286953,1
2713755,1
2869953,1
2573031,1
2602727,1
2637458,1
2627791,1
2612894,1
2600333,1
2515882,1
2825166,1
2618619,1
276192,1
194612,1
281443,1
195604,1
179853,1
230217,1
336274,1
254458,1
333505,1
392359,1
298475,1
334524,1
213342,1
186723,1
225985,1
241711,1
222850,1
330788,1
265613,1
237844,1
236591,1
233874,1
219454,1
2615990,1
1253541,1
1282115,1
1237791,1
1279904,1
2925008,1
2922088,1
2923548,1
2927677,1
2610860,1
278312,1
215084,1
232778,1
239094,1
187546,1
340890,1
258343,1
332740,1
205332,1
182230,1
114520,1
170213,1
237426,1
237322,1
2611903,1
2612028,1
172710,1
384497,1
231803,1
220193,1
230758,1
301974,1
582029,1
258924,1
1814855,1
391000,1
166680,1
215386,1
339567,1
299350,1
289388,1
364296,1
285673,1
133768,1
51780,1
343719,1
375418,1
325041,1
264698,1
240718,1
381231,1
300355,1
293485,1
261955,1
251977,1
222380,1
206628,1
233691,1
106396,1
106266,1
274155,1
266266,1
47333,1
237531,1
482429,1
221936,1
144326,1
190589,1
141270,1
307252,1
328071,1
167288,1
182256,1
383059,1
194560,1
208222,1
307095,1
251559,1
404323,1
304352,1
256026,1
289750,1
254040,1
188630,1
203493,1
171284,1
282723,1
284708,1
282200,1
141008,1
371356,1
249417,1
196257,1
185077,1
248346,1
219742,1
262243,1
315219,1
298135,1
158354,1
193149,1
76303,1
293015,1
249678,1
180950,1
421982,1
184398,1
146938,1
804101,1
344320,1
269165,1
262635,1
323213,1
476003,1
473495,1
913658,1
179826,1
130063,1
174367,1
189022,1
191451,1
140329,1
149394,1
316630,1
228466,1
212506,1
206733,1
151849,1
189466,1
235781,1
188160,1
478302,1
